frequency,gc_RAI15->RAI16,gc_RAI16->RAI15,subject,event,ch1,ch2,gc_RAI15->RPI15,gc_RPI15->RAI15,gc_RAI16->RPI15,gc_RPI15->RAI16
3.0,0.7536956338963274,0.7536956338963274,D0057,Stimulus,RAI15,RAI16,,,,
3.2083333333333335,0.7482691577582448,0.7482691577582448,D0057,Stimulus,RAI15,RAI16,,,,
3.4166666666666665,0.745302247740042,0.745302247740042,D0057,Stimulus,RAI15,RAI16,,,,
3.625,0.7454728066965549,0.7454728066965549,D0057,Stimulus,RAI15,RAI16,,,,
3.8333333333333335,0.7483089022438502,0.7483089022438502,D0057,Stimulus,RAI15,RAI16,,,,
4.041666666666667,0.7532478268074047,0.7532478268074047,D0057,Stimulus,RAI15,RAI16,,,,
4.25,0.7598731704042532,0.7598731704042532,D0057,Stimulus,RAI15,RAI16,,,,
4.458333333333334,0.7678546062689765,0.7678546062689765,D0057,Stimulus,RAI15,RAI16,,,,
4.666666666666667,0.7768517859249422,0.7768517859249422,D0057,Stimulus,RAI15,RAI16,,,,
4.875,0.7862802393878391,0.7862802393878391,D0057,Stimulus,RAI15,RAI16,,,,
5.083333333333334,0.7952632885852413,0.7952632885852413,D0057,Stimulus,RAI15,RAI16,,,,
5.291666666666667,0.8025977778756479,0.8025977778756479,D0057,Stimulus,RAI15,RAI16,,,,
5.5,0.8075210434134583,0.8075210434134583,D0057,Stimulus,RAI15,RAI16,,,,
5.708333333333334,0.8100336255676948,0.8100336255676948,D0057,Stimulus,RAI15,RAI16,,,,
5.916666666666667,0.8109333764535741,0.8109333764535741,D0057,Stimulus,RAI15,RAI16,,,,
6.125,0.8113742067042902,0.8113742067042902,D0057,Stimulus,RAI15,RAI16,,,,
6.333333333333334,0.8123031346815607,0.8123031346815607,D0057,Stimulus,RAI15,RAI16,,,,
6.541666666666667,0.8141242018212484,0.8141242018212484,D0057,Stimulus,RAI15,RAI16,,,,
6.75,0.8166725475288164,0.8166725475288164,D0057,Stimulus,RAI15,RAI16,,,,
6.958333333333334,0.8194156861183668,0.8194156861183668,D0057,Stimulus,RAI15,RAI16,,,,
7.166666666666667,0.8217454560469446,0.8217454560469446,D0057,Stimulus,RAI15,RAI16,,,,
7.375,0.8232553810478299,0.8232553810478299,D0057,Stimulus,RAI15,RAI16,,,,
7.583333333333334,0.823907447225614,0.823907447225614,D0057,Stimulus,RAI15,RAI16,,,,
7.791666666666667,0.8240146115941084,0.8240146115941084,D0057,Stimulus,RAI15,RAI16,,,,
8.0,0.8240647190902003,0.8240647190902003,D0057,Stimulus,RAI15,RAI16,,,,
3.0,,,D0057,Stimulus,RAI15,RPI15,0.2542142030265845,0.2542142030265845,,
3.2083333333333335,,,D0057,Stimulus,RAI15,RPI15,0.2517076368071261,0.25170763680712616,,
3.4166666666666665,,,D0057,Stimulus,RAI15,RPI15,0.25251210757520065,0.25251210757520065,,
3.625,,,D0057,Stimulus,RAI15,RPI15,0.2541415718477498,0.2541415718477498,,
3.8333333333333335,,,D0057,Stimulus,RAI15,RPI15,0.2549361826557851,0.25493618265578516,,
4.041666666666667,,,D0057,Stimulus,RAI15,RPI15,0.2540533914187536,0.2540533914187536,,
4.25,,,D0057,Stimulus,RAI15,RPI15,0.2512364839980255,0.2512364839980255,,
4.458333333333334,,,D0057,Stimulus,RAI15,RPI15,0.24663597481809793,0.24663597481809793,,
4.666666666666667,,,D0057,Stimulus,RAI15,RPI15,0.24041909361448732,0.24041909361448732,,
4.875,,,D0057,Stimulus,RAI15,RPI15,0.233453700692742,0.233453700692742,,
5.083333333333334,,,D0057,Stimulus,RAI15,RPI15,0.22649924084783862,0.22649924084783862,,
5.291666666666667,,,D0057,Stimulus,RAI15,RPI15,0.22020434193755817,0.22020434193755817,,
5.5,,,D0057,Stimulus,RAI15,RPI15,0.2152059668602913,0.2152059668602913,,
5.708333333333334,,,D0057,Stimulus,RAI15,RPI15,0.2119870659094584,0.21198706590945837,,
5.916666666666667,,,D0057,Stimulus,RAI15,RPI15,0.21003417209615738,0.2100341720961574,,
6.125,,,D0057,Stimulus,RAI15,RPI15,0.20906935866499737,0.20906935866499735,,
6.333333333333334,,,D0057,Stimulus,RAI15,RPI15,0.20905683842823944,0.20905683842823944,,
6.541666666666667,,,D0057,Stimulus,RAI15,RPI15,0.2099039030874454,0.20990390308744541,,
6.75,,,D0057,Stimulus,RAI15,RPI15,0.21135462216324796,0.21135462216324796,,
6.958333333333334,,,D0057,Stimulus,RAI15,RPI15,0.21329686824137448,0.21329686824137448,,
7.166666666666667,,,D0057,Stimulus,RAI15,RPI15,0.2156972112974778,0.2156972112974778,,
7.375,,,D0057,Stimulus,RAI15,RPI15,0.21812142004346868,0.21812142004346868,,
7.583333333333334,,,D0057,Stimulus,RAI15,RPI15,0.22038695822477125,0.22038695822477125,,
7.791666666666667,,,D0057,Stimulus,RAI15,RPI15,0.2224855027957982,0.2224855027957982,,
8.0,,,D0057,Stimulus,RAI15,RPI15,0.2245029511031282,0.2245029511031282,,
3.0,,,D0057,Stimulus,RAI16,RPI15,,,0.2921656263967926,0.2921656263967926
3.2083333333333335,,,D0057,Stimulus,RAI16,RPI15,,,0.29033249780744363,0.29033249780744363
3.4166666666666665,,,D0057,Stimulus,RAI16,RPI15,,,0.2919703921154086,0.2919703921154086
3.625,,,D0057,Stimulus,RAI16,RPI15,,,0.29425267245461006,0.29425267245461006
3.8333333333333335,,,D0057,Stimulus,RAI16,RPI15,,,0.295396099967063,0.295396099967063
4.041666666666667,,,D0057,Stimulus,RAI16,RPI15,,,0.29466637054687705,0.29466637054687705
4.25,,,D0057,Stimulus,RAI16,RPI15,,,0.2916887921623031,0.2916887921623031
4.458333333333334,,,D0057,Stimulus,RAI16,RPI15,,,0.2863665849556909,0.2863665849556909
4.666666666666667,,,D0057,Stimulus,RAI16,RPI15,,,0.27888152871576,0.27888152871576
4.875,,,D0057,Stimulus,RAI16,RPI15,,,0.27010555532658,0.27010555532658
5.083333333333334,,,D0057,Stimulus,RAI16,RPI15,,,0.2610846883857646,0.2610846883857646
5.291666666666667,,,D0057,Stimulus,RAI16,RPI15,,,0.2528398567315242,0.2528398567315242
5.5,,,D0057,Stimulus,RAI16,RPI15,,,0.24584079120576016,0.24584079120576016
5.708333333333334,,,D0057,Stimulus,RAI16,RPI15,,,0.24084776007917758,0.24084776007917758
5.916666666666667,,,D0057,Stimulus,RAI16,RPI15,,,0.2382688529885596,0.23826885298855963
6.125,,,D0057,Stimulus,RAI16,RPI15,,,0.23738067564385398,0.23738067564385398
6.333333333333334,,,D0057,Stimulus,RAI16,RPI15,,,0.23779492983224335,0.23779492983224335
6.541666666666667,,,D0057,Stimulus,RAI16,RPI15,,,0.23934774526001107,0.23934774526001107
6.75,,,D0057,Stimulus,RAI16,RPI15,,,0.2417531038196827,0.2417531038196827
6.958333333333334,,,D0057,Stimulus,RAI16,RPI15,,,0.244917268192975,0.244917268192975
7.166666666666667,,,D0057,Stimulus,RAI16,RPI15,,,0.24864514171264834,0.24864514171264832
7.375,,,D0057,Stimulus,RAI16,RPI15,,,0.2525575650062859,0.2525575650062859
7.583333333333334,,,D0057,Stimulus,RAI16,RPI15,,,0.25629286345121255,0.25629286345121255
7.791666666666667,,,D0057,Stimulus,RAI16,RPI15,,,0.2597396858302913,0.2597396858302913
8.0,,,D0057,Stimulus,RAI16,RPI15,,,0.2629057415751388,0.2629057415751388
